"author_id","first_name","middle_name","last_name"
115,"Rebecca",NULL,"Wirfs-Brock"
116,"Lasse",NULL,"Koskela"
117,"David",NULL,"Chelimsky"
118,"Why","Stiff","Lucky"
119,"Christopher",NULL,"Hadnagy"
120,"Sebastian",NULL,"Raschka"
121,"Henk",NULL,"Barendregt"
122,"Tobias",NULL,"Nipkow"
123,"Chris",NULL,"Bernhardt"
124,"Joost-Pieter",NULL,"Katoen"
125,"R.G.",NULL,"Dromey"
126,"Andrew",NULL,"McAfee"
127,"Jeff",NULL,"Hawkins"
128,"Paul",NULL,"Deitel"
129,"Albert",NULL,"Meyer"
130,"Angus",NULL,"Croll"
131,"Jason",NULL,"Hickey"
132,"Nathan",NULL,"Marz"
133,"Miguel",NULL,"Revilla"
134,"Maurice",NULL,"Herlihy"
135,"Gareth",NULL,"James"
136,"Hanne",NULL,"Nielson"
137,"Vern",NULL,"Ceder"
138,"Matt",NULL,"Pharr"
139,"Joe",NULL,"Armstrong"
140,"Mati",NULL,"Aharoni"
141,"Patrick",NULL,"Debois"
142,"Sandi",NULL,"Metz"
143,"Benedikt",NULL,"GroAY"
144,"Peter",NULL,"Sanders"
145,"Baron",NULL,"Schwartz"
146,"Paul",NULL,"Clements"
147,"Scott",NULL,"Ambler"
148,"R.",NULL,"Dybvig"
149,"Stephen",NULL,"Figgins"
150,"Stephan",NULL,"Mertens"
151,"Cay",NULL,"Horstmann"
152,"Luis",NULL,"Atencio"
153,"Michael",NULL,"Nielsen"
154,"Aaron",NULL,"Courville"
155,"W.H.",NULL,"Feijen"
156,"Richard",NULL,"Bejtlich"
157,"Peter",NULL,"Bruce"
158,"Adam",NULL,"Gibson"
159,"Vernon",NULL,"Ceder"
160,"Patrick",NULL,"Winston"
161,"Scott",NULL,"Vanstone"
162,"Jon",NULL,"Duckett"
163,"Nick",NULL,"Bostrom"
164,"Michael",NULL,"Dahlin"
165,"Eric",NULL,"Meyer"
166,"David",NULL,"Harel"
167,"Claude",NULL,"Shannon"
168,"Daryl",NULL,"Harms"
169,"Dan",NULL,"North"
170,"Roberto",NULL,"Tamassia"
171,"Paul",NULL,"Freiberger"
172,"George",NULL,"Heineman"
173,"Jeffrey",NULL,"Yost"
174,"Matt",NULL,"Weisfeld"
175,"Luciano",NULL,"Ramalho"
176,"Mary",NULL,"Poppendieck"
177,"M.",NULL,"Ozsu"
178,"Emily",NULL,"Chang"
179,"Douglas",NULL,"Stinson"
180,"Sara",NULL,"Wachter-Boettcher"
181,"Rajeev",NULL,"Motwani"
182,"John",NULL,"Sonmez"
183,"Y.",NULL,"Liang"
184,"Stanley",NULL,"Selkow"
185,"Christopher",NULL,"Duncan"
186,"Michael",NULL,"Whitman"
187,"Ron",NULL,"Jeffries"
188,"Johannes",NULL,"Braams"
189,"SaA!a",NULL,"Juric"
190,"Peter",NULL,"Thiel"
191,"Steve",NULL,"Souders"
192,"Jerome",NULL,"Friedman"
193,"Scott",NULL,"Mueller"
194,"Mark",NULL,"Dowd"
195,"Kelli",NULL,"Houston"
196,"Hinrich",NULL,"Schütze"
197,"Ethan",NULL,"Marcotte"
198,"Mark",NULL,"Pilgrim"
199,"Martin",NULL,"Davis"
200,"Craig",NULL,"Sharkie"
201,"Addy",NULL,"Osmani"
202,"N.",NULL,"Friedman"
203,"Daniel",NULL,"Rose"
204,"Chris",NULL,"Houser"
205,"Linus",NULL,"Torvalds"
206,"Matthew",NULL,"Helmke"
207,"John",NULL,"Battelle"
208,"Jon",NULL,"Kleinberg"
209,"Alan",NULL,"Cooper"
210,"Yoshua",NULL,"Bengio"
211,"Henrik",NULL,"Kniberg"
212,"Anshul",NULL,"Gupta"
213,"Judith",NULL,"Gersting"
214,"Jared",NULL,"Spool"
215,"William",NULL,"Brown"
216,"Ward",NULL,"Cunningham"
217,"Wladston",NULL,"Filho"
218,"Johnny",NULL,"Long"
219,"Cathy",NULL,"ONeil"
220,"June",NULL,"Barrow-Green"
221,"Jason",NULL,"Williams"
222,"Edward",NULL,"Skoudis"
223,"Jérémie",NULL,"Zimmermann"
224,"Mario",NULL,"Fusco"
225,"Jason",NULL,"Gregory"
226,"Micah",NULL,"Martin"
227,"Lloyd",NULL,"Trefethen"
228,"Erwin",NULL,"Schrödinger"
229,"Chris",NULL,"Dannen"
230,"Shlomo",NULL,"Angel"
231,"Tom",NULL,"Badgett"
232,"Shon",NULL,"Harris"
233,"Brian",NULL,"Krebs"
234,"Graham",NULL,"Hutton"
235,"Ross",NULL,"Anderson"
236,"Linda",NULL,"Torczon"
237,"Steve",NULL,"Freeman"
238,"Simson",NULL,"Garfinkel"
239,"Ilya",NULL,"Grigorik"
240,"Jan",NULL,"Eijck"
241,"Philip",NULL,"Bernstein"
242,"Larry",NULL,"Ullman"
243,"Michael",NULL,"Feathers"
244,"Linda",NULL,NULL
245,"Martin",NULL,"Ford"
246,"Sandro",NULL,"Mancuso"
248,"Donald",NULL,"Rubin"
249,"Steve",NULL,"Matyas"
250,"Richard",NULL,"Woods"
251,"Tim",NULL,"Roughgarden"
252,"Jeff",NULL,"Edmonds"
253,"Eoin",NULL,"Woods"
254,"Brian",NULL,"Fitzpatrick"
255,"N.",NULL,"Mermin"
256,"Karl",NULL,"Seguin"
257,"Leo",NULL,"Brodie"
258,"Robert",NULL,"Sebesta"
259,"Janet",NULL,"Valade"
260,"Bill",NULL,"Fenner"
261,"Lorna",NULL,"Mitchell"
262,"Satya",NULL,"Nadella"
263,"Dan",NULL,"Cederholm"
264,"Bryan",NULL,"Helmkamp"
265,"Dale",NULL,"Dougherty"
266,"Ka",NULL,"Cheung"
267,"Mark",NULL,"Lutz"
268,"Tom",NULL,"Phoenix"
269,"Mark",NULL,"Hamstra"
270,"Gayle",NULL,"McDowell"
271,"Michael",NULL,"Swaine"
272,"Yvonne",NULL,"Rogers"
273,"Edmond",NULL,"Lau"
274,"Mike",NULL,"Clark"
275,"Gordon",NULL,"Blair"
276,"Mark",NULL,"Ciampa"
277,"Pramod",NULL,"Sadalage"
278,"Subrata",NULL,"Dasgupta"
279,"Stuart",NULL,"McClure"
280,"Gary",NULL,"Bradski"
281,"Brian",NULL,"Lonsdorf"
282,"Jesse",NULL,"Robbins"
283,"Steven",NULL,"Pinker"
284,"David",NULL,"Stork"
285,"Luke",NULL,"Wroblewski"
286,"Graham",NULL,"Lee"
287,"J.",NULL,"Adams"
288,"Stephen",NULL,"Thorne"
289,"Dmitry",NULL,"Jemerov"
290,"Thomas",NULL,"Connolly"
291,"J.",NULL,"Brookshear"
292,"W.",NULL,"Hillis"
293,"Petar",NULL,"Tahchiev"
294,"Arnold",NULL,"Robbins"
295,"Chris",NULL,"Hankin"
296,"Jack",NULL,"Moffett"
297,"Andreas",NULL,"Wittig"
298,"Kjell",NULL,"Johnson"
299,"Christine",NULL,"Bresnahan"
300,"Tom",NULL,"Christiansen"
301,"Harvey",NULL,"Deitel"
302,"Allan",NULL,"Friedman"
303,"Tom",NULL,"DeMarco"
304,"Chris",NULL,"Rowley"
305,"Chris",NULL,"Eagle"
306,"Gina",NULL,"Smith"
307,"David",NULL,"LeBlanc"
308,"Andrea",NULL,"Arpaci-Dusseau"
309,"Martin",NULL,"Reddy"
310,"Eliezer",NULL,"Yudkowsky"
311,"Alfred",NULL,"Aho"
312,"John",NULL,"Maeda"
313,"Janna",NULL,"Levin"
314,"Christopher",NULL,"Cunningham"
315,"Flemming",NULL,"Nielson"
316,"Anne",NULL,"Troelstra"
317,"Hartley",NULL,"Rogers"
318,"Jonathan",NULL,"Katz"
319,"Cory",NULL,"Althoff"
320,"Betty",NULL,"Toole"
321,"H.",NULL,"Schwichtenberg"
322,"Sara",NULL,"Ishikawa"
323,"Dennis",NULL,"Shasha"
324,"Daniela",NULL,"Witten"
325,"Nilanjan",NULL,"Raychaudhuri"
326,"Avdi",NULL,"Grimm"
327,"Martin",NULL,"Fowler"
328,"Brian",NULL,"Carper"
329,"Mat",NULL,"Buckland"
330,"Amit",NULL,"Prakash"
331,"V.",NULL,"Spraul"
332,"Craig",NULL,"Martell"
333,"Svetlana",NULL,"Isakova"
334,"James",NULL,"Trott"
335,"Kenneth",NULL,"Rubin"
336,"William","Jr.","Shotts"
337,"Ian",NULL,"Sommerville"
338,"Dennis",NULL,"Ritchie"
339,"Brendan",NULL,"Burns"
340,"Adele",NULL,"Goldberg"
341,"Conor",NULL,"McBride"
342,"Andy",NULL,"Müller-Maguhn"
343,"Foster",NULL,"Provost"
344,"Tom",NULL,"Mitchell"
345,"Duncan",NULL,"Watts"
346,"David",NULL,"Wood"
347,"Ming",NULL,"Li"
348,"Alan",NULL,"McKean"
349,"Tatiana",NULL,"Diaz"
350,"David",NULL,"III"
351,"Nelson",NULL,"Beebe"
352,"Mike",NULL,"Meyers"
353,"Bruce",NULL,"MacLennan"
354,"Suzanne",NULL,"Robertson"
355,"David",NULL,"Carlisle"
356,"Peter",NULL,"Weinberger"
357,"Ingrid",NULL,"Fiksdahl-King"
358,"Igal",NULL,"Tabachnik"
359,"Greg",NULL,"Michaelson"
360,"Jeroen",NULL,"Janssens"
361,"Nicholas",NULL,"Haemel"
362,"Felix",NULL,"Halim"
363,"David",NULL,"Kennedy"
364,"Roger",NULL,"Pressman"
365,"J.P.",NULL,"Vossen"
366,"Daniel",NULL,"Higginbotham"
367,"Colin",NULL,"Evans"
368,"Robert",NULL,"Nystrom"
369,"Ron",NULL,"White"
370,"Justin",NULL,"Schuh"
371,"Carlos",NULL,"Coronel"
372,"Matt",NULL,"Carter"
373,"Guy",NULL,"Theraulaz"
374,"Zachary",NULL,"Tong"
375,"Richard",NULL,"Stallman"
376,"David",NULL,"Holmes"
377,"George",NULL,"Dyson"
378,"Kent",NULL,"Beck"
379,"Nathan",NULL,"Ensmenger"
380,"Micah",NULL,"Alpern"
381,"Steven",NULL,"Halim"
382,"Greg",NULL,"Riccardi"
383,"Matthew",NULL,"Lyon"
384,"Dan",NULL,"Jurafsky"
385,"Asanovi",NULL,NULL
386,"Richard",NULL,"Gabriel"
387,"Marco",NULL,"Dorigo"
388,"Brian",NULL,"Flannery"
389,"Thomas",NULL,"Anderson"
390,"Ben",NULL,"Albahari"
391,"Gary",NULL,"Pollice"
392,"Jon",NULL,"Orwant"
393,"Dave",NULL,"Fancher"
394,"John",NULL,"Smart"
395,"Wallace",NULL,"Wang"
396,"Julian",NULL,"Assange"
397,"Alex",NULL,"Payne"
398,"Terence",NULL,"Parr"
399,"Kees",NULL,"Doets"
400,"Eldad",NULL,"Eilam"
401,"John",NULL,"Zelle"
402,"Marsha",NULL,"Zaidman"
403,"Kip",NULL,"Irvine"
404,"Deepak",NULL,"Alur"
405,"Magnus",NULL,"Christerson"
406,"Martin",NULL,"Abbott"
407,"F.",NULL,"Lawvere"
408,"Robert",NULL,"Harper"
409,"K.N.",NULL,"King"
410,"Diana",NULL,"Wright"
411,"Daniel",NULL,"Velleman"
412,"Frank",NULL,"OBrien"
413,"Andrew",NULL,"Farris"
414,"Niranjan",NULL,"Shivaratri"
415,"Don",NULL,"Jones"
416,"Adam",NULL,"Freeman"
417,"William",NULL,"Cook"
418,"Andrei",NULL,"Alexandrescu"
419,"Yehuda",NULL,"Katz"
420,"Richard",NULL,"Monson-Haefel"
421,"George",NULL,"Kurtz"
422,"Seth",NULL,"Stephens-Davidowitz"
423,"Martin",NULL,"Gardner"
424,"Bruce",NULL,"Lawson"
425,"Robert",NULL,"Knake"
426,"Ellen",NULL,"Ullman"
427,"John",NULL,"Crupi"
428,"Diana",NULL,"Larsen"
429,"Eric",NULL,"Giguere"
430,"Derek",NULL,"Balling"
431,"Paul",NULL,"Ceruzzi"
432,"Tom",NULL,"Fawcett"
433,"Jeff",NULL,"Johnson"
434,"Jon",NULL,"Gertner"
435,"Yashavant",NULL,"Kanetkar"
436,"Andy",NULL,"Oram"
437,"Kenneth",NULL,"Steiglitz"
438,"Trevor",NULL,"Hastie"
439,"Jeffrey",NULL,"Ullman"
440,"Adrian",NULL,"Holovaty"
441,"Kevin",NULL,"Kelly"
442,"Paul",NULL,"Barry"
443,"Uwe",NULL,"SchÃ¶ning"
444,"John",NULL,"Burgess"
445,"Christopher",NULL,"Steiner"
446,"Eric",NULL,"Redmond"
447,"Jon",NULL,"Erickson"
448,"Timothy",NULL,"Gowers"
449,"Karl",NULL,"Matthias"
450,"Jason",NULL,"Fried"
451,"Jacquelyn",NULL,"Carter"
452,"Jacob",NULL,"Appelbaum"
453,"Andrew",NULL,"Glover"
454,"John",NULL,"White"
455,"Ed",NULL,"Yourdon"
456,"The",NULL,"Consortium"
457,"Michael",NULL,"Lucas"
458,"Raphael",NULL,"Malveau"
459,"Simon",NULL,"Marlow"
460,"Ralph",NULL,"Johnson"
461,"Bjarne",NULL,"Stroustrup"
462,"Jeremy",NULL,"Kubica"
463,"Dan",NULL,"Malks"
464,"Michael",NULL,"Folk"
465,"Allen",NULL,"Dutoit"
466,"Jack",NULL,"Falk"
467,"Andrew",NULL,"Tanenbaum"
468,"Andrew",NULL,"Appel"
469,"Rachel",NULL,"Warren"
470,"Nick",NULL,"Rozanski"
471,"Gunnar",NULL,"Overgaard"
472,"Debra",NULL,"Cameron"
473,"Sanjay",NULL,"Patel"
474,"Greg",NULL,"Perry"
475,"Andrew",NULL,"Barto"
476,"Pedro",NULL,"Domingos"
477,"Mordechai",NULL,"Ben-Ari"
478,"John",NULL,"Koza"
479,"Peter",NULL,"Pacheco"
480,"David",NULL,"Bourg"
481,"Robert",NULL,"Martin"
482,"Philip",NULL,"Jackson"
483,"Paul",NULL,"Duvall"
484,"Paul",NULL,"Churchland"
485,"David",NULL,"Patterson"
486,"Roland",NULL,"Mas"
487,"Imre",NULL,"Leader"
488,"Michael",NULL,"Dirolf"
489,"Jerome",NULL,"Saltzer"
490,"James",NULL,"Whittaker"
491,"Betsy",NULL,"Beyer"
492,"Albert-László",NULL,"Barabási"
493,"Lisa",NULL,"Crispin"
494,"Peter",NULL,"Wallack"
495,"Trend-Pro",NULL,"Ltd."
496,"Sydney",NULL,"Padua"
497,"Niklaus",NULL,"Wirth"
498,"James",NULL,"Foley"
499,"Lawrence",NULL,"Lessig"
500,"Edward",NULL,"Tufte"
501,"Carl",NULL,"Albing"
502,"Luke",NULL,"Hohmann"
503,"Mark",NULL,"Ryan"
504,"Richard",NULL,"Sutton"
505,"Fletcher",NULL,"Dunn"
506,"George",NULL,"Karypis"
507,"Maurice",NULL,"Naftalin"
508,"John",NULL,"Willis"
509,"Jez",NULL,"Humble"
510,"Neil",NULL,"Jones"
511,"Stanley",NULL,"Lippman"
512,"Simon",NULL,"Brown"
513,"Eric",NULL,"Lengyel"
514,"Marc",NULL,"Kreveld"
515,"Chris",NULL,"Jones"
516,"Andrew",NULL,"Hodges"
517,"Earle",NULL,"Castledine"
518,"F.",NULL,"Leighton"
519,"Philippe",NULL,"Flajolet"
520,"Peter",NULL,"Hart"
521,"Philip",NULL,"Japikse"
522,"Michael",NULL,"Ligh"
523,"Mark",NULL,"Richards"
524,"Gary",NULL,"Wright"
525,"Viktor",NULL,"Mayer-Schönberger"
526,"Gautam",NULL,"Shroff"
527,"Jonathan",NULL,"Stoddard"
528,"Richard",NULL,"Hamming"
529,"Cristina",NULL,"Lopes"
530,"Stoyan",NULL,"Stefanov"
531,"Michael",NULL,"Abrash"
532,"Bradley",NULL,"Miller"
533,"Jim",NULL,"Highsmith"
534,"Anthony",NULL,"Molinaro"
535,"Frank",NULL,"Buschmann"
536,"Peter",NULL,"Dayan"
537,"James",NULL,"Gleick"
538,"Tony",NULL,"Mason"
539,"Nell",NULL,"Dale"
540,"Kevin",NULL,"Fall"
541,"Ryan",NULL,"Breidenbach"
542,"Doug",NULL,"Hoyte"
543,"Remy",NULL,"Sharp"
544,"Chas",NULL,"Emerick"
545,"Daniel",NULL,"Shiffman"
546,"Flavio",NULL,"Junqueira"
547,"Nello",NULL,"Cristianini"
548,"Greg",NULL,"Wilson"
549,"Mike",NULL,"Cohn"
550,"Michael",NULL,"Lewis"
551,"Neal",NULL,"Gafter"
552,"William",NULL,"Byrd"
553,"Frederick","Jr.","Brooks"
554,"OReilly",NULL,"Team"
555,"Axel",NULL,"Rauschmayer"
556,"Andrew",NULL,"Ng"
557,"William",NULL,"Press"
558,"ACM",NULL,"Staff"
559,"Michael",NULL,"Fisher"
560,"John",NULL,"Lewis"
561,"Simon",NULL,"Haykin"
562,"Jim",NULL,"Blandy"
563,"Herbert",NULL,"Schildt"
564,"Rich",NULL,"Gibson"
565,"Markus",NULL,"Winand"
566,"Seymour",NULL,"Papert"
567,"Raghu",NULL,"Ramakrishnan"
568,"Greg",NULL,"Newman"
569,"Christopher",NULL,"Manning"
570,"Gregor",NULL,"Hohpe"
571,"Roland",NULL,"Kuhn"
572,"Doug",NULL,"Cutting"
573,"Daniel",NULL,"Cohen"
574,"Brian",NULL,"Foy"
575,"Alan",NULL,"Mycroft"
576,"Ian",NULL,"Witten"
577,"Chad",NULL,"Fowler"
578,"Ronen",NULL,"Feldman"
579,"Marvin",NULL,"Zelkowitz"
580,"Mana",NULL,"Takahashi"
581,"John",NULL,"Foreman"
582,"Andries",NULL,"Dam"
583,"John",NULL,"Hughes"
584,"William",NULL,"Kent"
585,"Gene",NULL,"Kim"
586,"Wes",NULL,"McKinney"
587,"Brian",NULL,"Totty"
588,"Matt",NULL,"Welsh"
589,"Gojko",NULL,"Adzic"
590,"Greg",NULL,"Nudelman"
591,"Dean",NULL,"Leffingwell"
592,"Peter",NULL,"Salus"
593,"Jared",NULL,"Richardson"
594,"Willi",NULL,"Richert"
595,"Winston",NULL,"Chang"
596,"Martin",NULL,"Odersky"
597,"Drew",NULL,"Neil"
598,"Gilbert",NULL,"Strang"
599,"Jon",NULL,"Loeliger"
600,"Christos",NULL,"Papadimitriou"
601,"Chris",NULL,"Shiflett"
602,"Glenn",NULL,"Greenwald"
603,"Mike",NULL,"Gancarz"
604,"Kevin",NULL,"Beaver"
605,"James",NULL,"Warren"
606,"Reto",NULL,"Meier"
607,"Jennifer",NULL,"Robbins"
608,"Mike",NULL,"Loukides"
609,"Aaron",NULL,"Tenenbaum"
610,"Anany",NULL,"Levitin"
611,"Joshua",NULL,"Bloch"
612,"Benjamin",NULL,"Reed"
613,"Michael",NULL,"Goldwasser"
614,"Marcus",NULL,"Pinto"
615,"Robert",NULL,"Vamosi"
616,"Tariq",NULL,"Rashid"
617,"Daphne",NULL,"Koller"
618,"James",NULL,"Reffell"
619,"Boaz",NULL,"Barak"
620,"Steven",NULL,"Holzner"
621,"Franz",NULL,"Baader"
622,"Sara",NULL,"Baase"
623,"Christel",NULL,"Baier"
624,"Jon",NULL,"Bentley"
625,"Hadley",NULL,"Wickham"
626,"Jeff",NULL,"Atwood"
627,"John",NULL,"Mongan"
628,"Jeff",NULL,"Hammerbacher"
629,"John",NULL,"Mitchell"
630,"Marc",NULL,"Goodman"
631,"John",NULL,"Allen"
632,"Neil",NULL,"Matthew"
633,"Tony",NULL,"Gaddis"
634,"Timothy",NULL,"Lister"
635,"Carl",NULL,"Meyer"
636,"Amy",NULL,"Brown"
637,"Eric",NULL,"Matthes"
638,"Dan",NULL,"Gusfield"
639,"Vincent",NULL,"Massol"
640,"Robert",NULL,"Romano"
641,"Christer",NULL,"Ericson"
642,"Andreas",NULL,"Zeller"
643,"Carolyn",NULL,"Begg"
644,"Claire",NULL,"Evans"
645,"Dusty",NULL,"Phillips"
646,"Dave",NULL,"Agans"
647,"Mark",NULL,"Berg"
648,"Felipe",NULL,"Leme"
649,"John",NULL,"Kelleher"
650,"Andy",NULL,"Hertzfeld"
651,"Samuel",NULL,"Arbesman"
652,"Max",NULL,"Jacobson"
653,"Yale",NULL,"Patt"
654,"Dick",NULL,"Grune"
655,"Michael",NULL,"Stonebraker"
656,"Tomas",NULL,"Akenine-Möller"
657,"Ken",NULL,"Schwaber"
658,"Michael",NULL,"Taylor"
659,"Grady",NULL,"Booch"
660,"Pete",NULL,"Goodliffe"
661,"Joshua",NULL,"Suereth"
662,"Garth",NULL,"Snyder"
663,"Leo",NULL,"Dorst"
664,"Barry",NULL,"OReilly"
665,"Jennifer",NULL,"Greene"
666,"Douglas",NULL,"Schmidt"
667,"Joseph",NULL,"Schmuller"
668,"Andrew",NULL,"Gelman"
669,"Karl",NULL,"Wiegers"
670,"Andreas",NULL,"Wirthensohn"
672,"Tom",NULL,"Liston"
673,"Dean",NULL,"Miller"
674,"Jakob",NULL,"Nielsen"
675,"Elaine",NULL,"Rich"
676,"Leland",NULL,"Purvis"
677,"Ivan",NULL,"Ristic"
678,"Richard",NULL,"Warburton"
679,"Michel",NULL,"Goossens"
680,"S.",NULL,"Cooper"
681,"Michael",NULL,"Mitzenmacher"
682,"Shamkant",NULL,"Navathe"
683,"Gordon",NULL,"Lyon"
684,"Matthew",NULL,"Gast"
685,"William",NULL,"Lidwell"
686,"Bruce",NULL,"Sterling"
687,"Chuck",NULL,"Musciano"
688,"Benjamin",NULL,"Lipchak"
689,"Peter",NULL,"Zaitsev"
690,"Keith",NULL,"Jones"
691,"Steven",NULL,"Levithan"
692,"Bryan",NULL,"OSullivan"
693,"Ken",NULL,"Ledeen"
694,"Christopher",NULL,"Alexander"
695,"Lar",NULL,"Kaufman"
696,"David",NULL,"Leavitt"
697,"Sam",NULL,"Williams"
698,"Marco",NULL,"Cesati"
699,"Alan",NULL,"Turing"
700,"Ira",NULL,"Pohl"
701,"Ernest",NULL,"Nagel"
702,"Eibe",NULL,"Frank"
703,"George",NULL,"Boolos"
704,"Peter",NULL,"Robson"
705,"Michael",NULL,"Lopp"
707,"Dean",NULL,"Wampler"
708,"Brett",NULL,"McLaughlin"
709,"P.J.",NULL,"Plauger"
710,"Herb",NULL,"Sutter"
711,"Peter",NULL,"Kim"
712,"Russ",NULL,"Miles"
713,"Alex",NULL,"Ionescu"
714,"Prabhakar",NULL,"Raghavan"
715,"Chris",NULL,"Anley"
716,"Mor",NULL,"Harchol-Balter"
717,"Neal",NULL,"Stephenson"
718,"Harry",NULL,"Lewis"
719,"Andriy",NULL,"Burkov"
720,"Vaughn",NULL,"Vernon"
721,"David",NULL,"Barber"
722,"David",NULL,"Kahn"
723,"Toby",NULL,"Segaran"
724,"Holden",NULL,"Karau"
725,"Nancy",NULL,"Lynch"
726,"Shawn",NULL,"Hedman"
727,"Peter",NULL,"Hruschka"
728,"Sailu",NULL,"Reddy"
729,"Christophe",NULL,"Grand"
730,"Daniel",NULL,"Holden"
731,"Joseph",NULL,"Bonneau"
732,"Andrew",NULL,"Blum"
733,"Mark",NULL,"Overmars"
734,"Miran",NULL,"LipovaÄa"
735,"Gerald",NULL,"Weinberg"
736,"Aoife",NULL,"DArcy"
737,"Anthony",NULL,"Williams"
738,"Kent",NULL,"Kawahara"
739,"Jeff",NULL,"Duntemann"
740,"Robert",NULL,"Glass"
741,"Donald",NULL,"Yacktman"
742,"Terrence",NULL,"Pratt"
743,"Rachid",NULL,"Guerraoui"
744,"Jan",NULL,"Goyvaerts"
745,"Steve",NULL,"Oualline"
746,"Edsger",NULL,"Dijkstra"
747,"Jaron",NULL,"Lanier"
748,"Bruce",NULL,"Dang"
749,"Adam",NULL,"Tornhill"
750,"Robert",NULL,"Maksimchuk"
751,"Jon",NULL,"Skeet"
752,"Richard",NULL,"Clarke"
753,"David",NULL,"Goldberg"
754,"Vadim",NULL,"Tkachenko"
755,"Jeff",NULL,"Langr"
756,"Andrew",NULL,"Case"
757,"Ã†leen",NULL,"Frisch"
758,"Robert",NULL,"Tibshirani"
759,"Edward",NULL,"Loper"
760,"Martin",NULL,"Kleppmann"
